brand,breadcrumbs,colour,description,image_urls,price,primary_image_url,product_id,product_name,product_url,reviews,sizes,sku
CARBON38,"Home,Shop All,Tops,Strappy Tank in Melt",Charcoal Leopard,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0404-Edit.jpg?v=1741717317&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0383-Edit.jpg?v=1741717317&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0409-Edit.jpg?v=1741717317&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0414-Edit.jpg?v=1741717317&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0429-Edit.jpg?v=1741717317&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0443-Edit.jpg?v=1741717317&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0153-Edit.jpg?v=1741717317&width=1000",$108.00 USD,//carbon38.com/cdn/shop/files/CARB-YD338LP-CHARCLEO-24SM-Strappy-Tank-in-Melt-color-Charcoal-Leopard_0404-Edit.jpg?v=1741717317&width=1000,7942031900861,Strappy Tank in Melt,https://carbon38.com/products/strappy-tank-in-melt-charcoal-leopard,0,"XS,S,M,L,XL",CARB-YD338LP-CHARCLEO-24SM-XS
EUGENIA KIM,"Home,Shop All,Tops,Venus Tank",Optic White,"87% Nylon, 13% Spandex","//carbon38.com/cdn/shop/files/EUGE-31525-17224-IVRYOFFWHI-Venus-color-Optic-White_8007-Edit.jpg?v=1742576709&width=1000,//carbon38.com/cdn/shop/files/EUGE-31525-17224-IVRYOFFWHI-Venus-color-Optic-White_8026-Edit.jpg?v=1742576709&width=1000,//carbon38.com/cdn/shop/files/EUGE-31525-17224-IVRYOFFWHI-Venus-color-Optic-White_8022-Edit.jpg?v=1742576709&width=1000,//carbon38.com/cdn/shop/files/EUGE-31525-17224-IVRYOFFWHI-Venus-color-Optic-White_8013-Edit.jpg?v=1742576709&width=1000,//carbon38.com/cdn/shop/files/EUGE-31525-17224-IVRYOFFWHI-Venus-color-Optic-White_8018-Edit.jpg?v=1742576709&width=1000,//carbon38.com/cdn/shop/files/EUGE-31525-17224-IVRYOFFWHI-Venus-color-Optic-White_8000-Edit.jpg?v=1742576709&width=1000",$105.00 USD,//carbon38.com/cdn/shop/files/EUGE-31525-17224-IVRYOFFWHI-Venus-color-Optic-White_8007-Edit.jpg?v=1742576709&width=1000,7979019796669,Venus Tank,https://carbon38.com/products/venus-optic-white,0,"XS,S,M,L",EUGE-31525-17224-IVRYOFFWHI-XS
ON,"Home,Shop All,Tops,Studio Cut-Out Crop",White,"Find your flow with this crop top for low-intensity workouts, in a sleek cut-out design and a soft, buttery fabric.","//carbon38.com/cdn/shop/files/On-1WF10570069-WHTWHI-Studio-Cut-Out-Crop-color-White_22398-Edit.jpg?v=1742598787&width=1000,//carbon38.com/cdn/shop/files/On-1WF10570069-WHTWHI-Studio-Cut-Out-Crop-color-White_22408-Edit.jpg?v=1742598787&width=1000,//carbon38.com/cdn/shop/files/On-1WF10570069-WHTWHI-Studio-Cut-Out-Crop-color-White_22428-Edit.jpg?v=1742598787&width=1000,//carbon38.com/cdn/shop/files/On-1WF10570069-WHTWHI-Studio-Cut-Out-Crop-color-White_22436-Edit.jpg?v=1742598787&width=1000,//carbon38.com/cdn/shop/files/On-1WF10570069-WHTWHI-Studio-Cut-Out-Crop-color-White_22402-Edit.jpg?v=1742598787&width=1000,//carbon38.com/cdn/shop/files/On-1WF10570069-WHTWHI-Studio-Cut-Out-Crop-color-White_22385-Edit.jpg?v=1742598787&width=1000",$60.00 USD,//carbon38.com/cdn/shop/files/On-1WF10570069-WHTWHI-Studio-Cut-Out-Crop-color-White_22398-Edit.jpg?v=1742598787&width=1000,7852779897021,Studio Cut-Out Crop,https://carbon38.com/products/studio-cut-out-crop-white,0,"XS,S,M,L,XL",On-1WF10570069-WHTWHI-XS
CARBON38,"Home,Shop All,Tops,High Neck Fitted Tank in Ribbed Jersey",White,93% MICRO MODAL 7% SPADEX ,"//carbon38.com/cdn/shop/files/CARB-YD369-WHT-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-White_5395-Edit.jpg?v=1738806720&width=1000,//carbon38.com/cdn/shop/files/CARB-YD369-WHT-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-White_5409-Edit.jpg?v=1738806727&width=1000,//carbon38.com/cdn/shop/files/CARB-YD369-WHT-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-White_5406-Edit.jpg?v=1738806727&width=1000,//carbon38.com/cdn/shop/files/CARB-YD369-WHT-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-White_5397-Edit.jpg?v=1738806727&width=1000,//carbon38.com/cdn/shop/files/SWATCH_RIBBEDJERSEYTANK_WHITE_15060-Edit_66cc9c45-cc32-4ad2-8efc-75d577703e42.jpg?v=1740694393&width=1000,//carbon38.com/cdn/shop/files/CARB-YD369-WHT-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-White_5521-Edit.jpg?v=1740694306&width=1000",$68.00 USD,//carbon38.com/cdn/shop/files/CARB-YD369-WHT-25SS-High-Neck-Fitted-Tank-in-Ribbed-Jersey-color-White_5395-Edit.jpg?v=1738806720&width=1000,7885392904381,High Neck Fitted Tank in Ribbed Jersey,https://carbon38.com/products/high-neck-fitted-tank-in-ribbed-jersey-white,0,"XS,S,M,L,XL",CARB-YD369-WHT-25SS-XS
CARBON38,"Home,Shop All,Tops,Long Sleeve Wrap Top in Ribbed Jersey",White,"93% MICRO MODAL, 7% SPANDEX","//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0492-Edit.jpg?v=1737654418&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0472-Edit.jpg?v=1737654418&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0495-Edit.jpg?v=1737654418&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0507-Edit.jpg?v=1737654418&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0510-Edit.jpg?v=1737654418&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0523-Edit.jpg?v=1737654418&width=1000,//carbon38.com/cdn/shop/files/SWATCH_RIBBEDJERSEYTANK_WHITE_15060-Edit_66cc9c45-cc32-4ad2-8efc-75d577703e42.jpg?v=1740694393&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0374-Edit.jpg?v=1740694393&width=1000",$88.00 USD,//carbon38.com/cdn/shop/files/CARB-YD658R-WHT-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-White_0492-Edit.jpg?v=1737654418&width=1000,7883860836541,Long Sleeve Wrap Top in Ribbed Jersey,https://carbon38.com/products/long-sleeve-wrap-top-in-ribbed-jersey-white,0,"XS,S,M,L,XL",CARB-YD658R-WHT-24HOL-XS
CARBON38,"Home,Shop All,Tops,Mock Neck Corset Zip Top in Melt",White,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12094-Edit.jpg?v=1724108844&width=1000,//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12148-Edit.jpg?v=1724108844&width=1000,//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12111-Edit.jpg?v=1724108844&width=1000,//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12119-Edit.jpg?v=1724108845&width=1000,//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12130-Edit.jpg?v=1724108844&width=1000,//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12134-Edit.jpg?v=1724108845&width=1000,//carbon38.com/cdn/shop/files/WHITE-MELT_0097-Edit.jpg?v=1741306615&width=1000,//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12579-Edit.jpg?v=1741306415&width=1000",$148.00 USD,//carbon38.com/cdn/shop/files/CARB-YD570-WHT-24FAL-Mock-Neck-Corset-Zip-Top-color-White_12094-Edit.jpg?v=1724108844&width=1000,7758721777853,Mock Neck Corset Zip Top in Melt,https://carbon38.com/products/mock-neck-coreset-zip-top-white,0,"XS,S,M,L,XL",CARB-YD570-WHT-24FAL-XS
KERRI ROSENTHAL,"Home,Shop All,Tops,Ex-Boyfriend Le Sunshine Sweatshirt",White,100% cotton fleece. Machine wash cold. ,"//carbon38.com/cdn/shop/files/KRRNL-KR25-3377-WHTWHI-Ex-Boyfriend-Le-Sunshine-Sweatshirt-color-White_13811-Edit.jpg?v=1742404780&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3377-WHTWHI-Ex-Boyfriend-Le-Sunshine-Sweatshirt-color-White_13793-Edit.jpg?v=1742404780&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3377-WHTWHI-Ex-Boyfriend-Le-Sunshine-Sweatshirt-color-White_13831-Edit.jpg?v=1742404780&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3377-WHTWHI-Ex-Boyfriend-Le-Sunshine-Sweatshirt-color-White_13817-Edit.jpg?v=1742404780&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3377-WHTWHI-Ex-Boyfriend-Le-Sunshine-Sweatshirt-color-White_13822-Edit.jpg?v=1742404780&width=1000",$188.00 USD,//carbon38.com/cdn/shop/files/KRRNL-KR25-3377-WHTWHI-Ex-Boyfriend-Le-Sunshine-Sweatshirt-color-White_13811-Edit.jpg?v=1742404780&width=1000,,Ex-Boyfriend Le Sunshine Sweatshirt,https://carbon38.com/products/ex-boyfriend-le-sunshine-sweatshirt-white,0,"XS,S,M,L,XL",
CARBON38,"Home,Shop All,Tops,Half Zip Asymmetrical Pullover in Interlock",Moonbeam Heather,The Knit Jacket with Asymmetrical Half Zip in Interlock in Moonbeam Heather is the newest half zip to add to your closet. Pair back to any of our best-selling leggings or to our Pin Tuck Knit Pant for a full cozy outfit.,"//carbon38.com/cdn/shop/files/CARB-YD562-MOONHEATH-24FAL-Half-Zip-Asymmetrical-Pullover-color-Moonbeam-Heather_8254-Edit.jpg?v=1723585403&width=1000,//carbon38.com/cdn/shop/files/CARB-YD562-MOONHEATH-24FAL-Half-Zip-Asymmetrical-Pullover-color-Moonbeam-Heather_8242-Edit.jpg?v=1723585404&width=1000,//carbon38.com/cdn/shop/files/CARB-YD562-MOONHEATH-24FAL-Half-Zip-Asymmetrical-Pullover-color-Moonbeam-Heather_8262-Edit.jpg?v=1723585403&width=1000,//carbon38.com/cdn/shop/files/CARB-YD562-MOONHEATH-24FAL-Half-Zip-Asymmetrical-Pullover-color-Moonbeam-Heather_8269-Edit.jpg?v=1723585403&width=1000,//carbon38.com/cdn/shop/files/CARB-YD562-MOONHEATH-24FAL-Half-Zip-Asymmetrical-Pullover-color-Moonbeam-Heather_8277-Edit.jpg?v=1723585403&width=1000,//carbon38.com/cdn/shop/files/MOONBEAM-INTERLOCK_0138-Edit.jpg?v=1745358225&width=1000,//carbon38.com/cdn/shop/files/CARB-YD562-MOONHEATH-24FAL-Half-Zip-Asymmetrical-Pullover-color-Moonbeam-Heather_6809-Edit.jpg?v=1741301697&width=1000",$126.00 USD,//carbon38.com/cdn/shop/files/CARB-YD562-MOONHEATH-24FAL-Half-Zip-Asymmetrical-Pullover-color-Moonbeam-Heather_8254-Edit.jpg?v=1723585403&width=1000,7699765166269,Half Zip Asymmetrical Pullover in Interlock,https://carbon38.com/products/half-zip-asymmetrical-pullover-moonbeam-heather,0,"XS,S,M,L,XL",CARB-YD562-MOONHEATH-24FAL-XS
VARLEY,"Home,Shop All,Tops,Milano Half Zip Sweat",Ivory,"Featuring raglan sleeves, a high neck, and sleeve panelling, this sweatshirt is made from Varley's key Ottoman fabric. It's perfect for pairing with sweatpants or trousers for any occasion.","//carbon38.com/cdn/shop/files/VARL-VAR02106-IVRYOFFWHI-Milano-Half-Zip-Sweat-color-Ivory_4055-Edit.jpg?v=1721410104&width=1000,//carbon38.com/cdn/shop/files/VARL-VAR02106-IVRYOFFWHI-Milano-Half-Zip-Sweat-color-Ivory_4052-Edit.jpg?v=1721410104&width=1000,//carbon38.com/cdn/shop/files/VARL-VAR02106-IVRYOFFWHI-Milano-Half-Zip-Sweat-color-Ivory_4064-Edit.jpg?v=1721410105&width=1000,//carbon38.com/cdn/shop/files/VARL-VAR02106-IVRYOFFWHI-Milano-Half-Zip-Sweat-color-Ivory_4073-Edit.jpg?v=1721410105&width=1000,//carbon38.com/cdn/shop/files/VARL-VAR02106-IVRYOFFWHI-Milano-Half-Zip-Sweat-color-Ivory_4079-Edit.jpg?v=1721410104&width=1000,//carbon38.com/cdn/shop/files/VARL-VAR02106-IVRYOFFWHI-Milano-Half-Zip-Sweat-color-Ivory_4089-Edit.jpg?v=1721410105&width=1000",$109.00 USD,//carbon38.com/cdn/shop/files/VARL-VAR02106-IVRYOFFWHI-Milano-Half-Zip-Sweat-color-Ivory_4055-Edit.jpg?v=1721410104&width=1000,7724399984829,Milano Half Zip Sweat,https://carbon38.com/products/milano-half-zip-sweat-ivory,0,"XS,S,M,L,XL",VARL-VAR02106-IVRYOFFWHI-XS
CARBON38,"Home,Shop All,Tops,Cap Sleeve Top",Black,50% Cotton 50% Modal,"//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_64149-Edit.jpg?v=1713489145&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_64189-Edit.jpg?v=1713489145&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_64159-Edit.jpg?v=1713489145&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_64169-Edit.jpg?v=1713489145&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_64123-Edit.jpg?v=1713489145&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_4806-Edit.jpg?v=1713489145&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_4808-Edit.jpg?v=1713489145&width=1000",$117.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6098-BLK-24SM-Cap-Sleeve-Top-color-Black_64149-Edit.jpg?v=1713489145&width=1000,7590216532157,Cap Sleeve Top,https://carbon38.com/products/cap-sleeve-top-black,0,"XS,S,M,L,XL",CARB-YD6098-BLK-24SM-XS
CARBON38,"Home,Shop All,Tops,Asymmetrical Sweater Top",Black,"57% VISCOSE, 26% NYLON, 14% POLYESTER, 3% SPANDEX","//carbon38.com/cdn/shop/files/CARB-YD6103-BLK-24FAL-Asymmetrical-Sweater-Top-color-Black_1298-Edit.jpg?v=1719879080&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6103-BLK-24FAL-Asymmetrical-Sweater-Top-color-Black_1259-Edit.jpg?v=1719879080&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6103-BLK-24FAL-Asymmetrical-Sweater-Top-color-Black_1311-Edit.jpg?v=1719879075&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6103-BLK-24FAL-Asymmetrical-Sweater-Top-color-Black_1313-Edit.jpg?v=1719879075&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6103-BLK-24FAL-Asymmetrical-Sweater-Top-color-Black_1324-Edit.jpg?v=1719879075&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6103-BLK-24FAL-Asymmetrical-Sweater-Top-color-Black_1480-Edit.jpg?v=1719879075&width=1000",$117.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6103-BLK-24FAL-Asymmetrical-Sweater-Top-color-Black_1298-Edit.jpg?v=1719879080&width=1000,7645699702973,Asymmetrical Sweater Top,https://carbon38.com/products/asymmetrical-sweater-top-black,0,"XS,S,M,L,XL",CARB-YD6103-BLK-24FAL-XS
CARBON38,"Home,Shop All,Tops,Slouchy Off Shoulder Sweater",Black / White Stripe,The Slouchy Knit Sweater is the perfect transition layering piece. Throw it on over your leggings for an elevated look. This sweater can be styled both off the shoulder or boat neck style. ,"//carbon38.com/cdn/shop/files/CARB-YD6066RS-BLKWHTSTRPE-24HOL-Wool-Blend-Striped-Slouchy-Knit-Sweater-color-Black-White-Stripe_21426-Edit.jpg?v=1727388705&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6066RS-BLKWHTSTRPE-24HOL-Wool-Blend-Striped-Slouchy-Knit-Sweater-color-Black-White-Stripe_21456-Edit.jpg?v=1727388705&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6066RS-BLKWHTSTRPE-24HOL-Wool-Blend-Striped-Slouchy-Knit-Sweater-color-Black-White-Stripe_21434-Edit.jpg?v=1727388705&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6066RS-BLKWHTSTRPE-24HOL-Wool-Blend-Striped-Slouchy-Knit-Sweater-color-Black-White-Stripe_21446-Edit.jpg?v=1727388705&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6066RS-BLKWHTSTRPE-24HOL-Wool-Blend-Striped-Slouchy-Knit-Sweater-color-Black-White-Stripe_21429-Edit.jpg?v=1727388705&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6066RS-BLKWHTSTRPE-24HOL-Wool-Blend-Striped-Slouchy-Knit-Sweater-color-Black-White-Stripe_20847-Edit.jpg?v=1727388705&width=1000",$89.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6066RS-BLKWHTSTRPE-24HOL-Wool-Blend-Striped-Slouchy-Knit-Sweater-color-Black-White-Stripe_21426-Edit.jpg?v=1727388705&width=1000,7758733934781,Slouchy Off Shoulder Sweater,https://carbon38.com/products/wool-blend-slouchy-knit-sweater-black-white-stripe,0,"XS,S,M,L,XL",CARB-YD6066RS-BLKWHTSTRPE-24HOL-XS
PERFECT MOMENT,"Home,Shop All,Tops,Carving Merino Wool Sweater",Black/Snow White,The ,"//carbon38.com/cdn/shop/files/PERF-W3001100-BLKWHI-Carving-Air-Sweater-color-Black-Snow-White_6404-Edit.jpg?v=1728592444&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001100-BLKWHI-Carving-Air-Sweater-color-Black-Snow-White_6427-Edit.jpg?v=1728592444&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001100-BLKWHI-Carving-Air-Sweater-color-Black-Snow-White_6409-Edit.jpg?v=1728592444&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001100-BLKWHI-Carving-Air-Sweater-color-Black-Snow-White_6416-Edit.jpg?v=1728592443&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001100-BLKWHI-Carving-Air-Sweater-color-Black-Snow-White_6419-Edit.jpg?v=1728592444&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001100-BLKWHI-Carving-Air-Sweater-color-Black-Snow-White_6395-Edit.jpg?v=1728592444&width=1000",$591.00 USD,//carbon38.com/cdn/shop/files/PERF-W3001100-BLKWHI-Carving-Air-Sweater-color-Black-Snow-White_6404-Edit.jpg?v=1728592444&width=1000,7692423102653,Carving Merino Wool Sweater,https://carbon38.com/products/carving-air-sweater-black-snow-white,0,"XS,S,M,L",PERF-W3001100-BLKWHI-XS
CARBON38,"Home,Shop All,Tops,Pearl Necklace Sweater Tank",Black,"73% VISCOSE, 15% POLYESTER, 11% NYLON, 1% SPANDEX","//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_7363-Edit.jpg?v=1727389959&width=1000,//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_7388-Edit.jpg?v=1727389959&width=1000,//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_7372-Edit.jpg?v=1727389959&width=1000,//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_7376-Edit.jpg?v=1727389959&width=1000,//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_7381-Edit.jpg?v=1727389959&width=1000,//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_7352-Edit.jpg?v=1727389959&width=1000,//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_28957-Edit.jpg?v=1727389959&width=1000",$126.00 USD,//carbon38.com/cdn/shop/files/CARB-YD364-BLK-24HOL-Pearl-Necklace-Tank-color-Black_7363-Edit.jpg?v=1727389959&width=1000,7789477298365,Pearl Necklace Sweater Tank,https://carbon38.com/products/pearl-necklace-tank-black,0,"XS,S,M,L,XL",CARB-YD364-BLK-24HOL-XS
ELLSWORTH + IVEY,"Home,Shop All,Tops,Club38 Sweater Vest",Ivory/Navy/Red,55% Acrylic/ 45% Cotton,"//carbon38.com/cdn/shop/files/ELSWIV-EIV-SVCARB38LW-IVRYMULTI-Club38-Sweater-Vest-color-Ivory-Navy-Red_21474-Edit.jpg?v=1728080886&width=1000,//carbon38.com/cdn/shop/files/ELSWIV-EIV-SVCARB38LW-IVRYMULTI-Club38-Sweater-Vest-color-Ivory-Navy-Red_21471-Edit.jpg?v=1728080885&width=1000,//carbon38.com/cdn/shop/files/ELSWIV-EIV-SVCARB38LW-IVRYMULTI-Club38-Sweater-Vest-color-Ivory-Navy-Red_21488-Edit.jpg?v=1728080885&width=1000,//carbon38.com/cdn/shop/files/ELSWIV-EIV-SVCARB38LW-IVRYMULTI-Club38-Sweater-Vest-color-Ivory-Navy-Red_21496-Edit.jpg?v=1728080885&width=1000,//carbon38.com/cdn/shop/files/ELSWIV-EIV-SVCARB38LW-IVRYMULTI-Club38-Sweater-Vest-color-Ivory-Navy-Red_21485-Edit.jpg?v=1728080885&width=1000,//carbon38.com/cdn/shop/files/ELSWIV-EIV-SVCARB38LW-IVRYMULTI-Club38-Sweater-Vest-color-Ivory-Navy-Red_21516-Edit.jpg?v=1728080885&width=1000",$117.00 USD,//carbon38.com/cdn/shop/files/ELSWIV-EIV-SVCARB38LW-IVRYMULTI-Club38-Sweater-Vest-color-Ivory-Navy-Red_21474-Edit.jpg?v=1728080886&width=1000,7831151116477,Club38 Sweater Vest,https://carbon38.com/products/club38-sweater-vest-ivory-navy-red,0,"XS,S,M,L,XL",ELSWIV-EIV-SVCARB38LW-IVRYMULTI-XS
,"Home,Shop All,Tops,Monroe Cashmere Cardigan",Burgundy,100% Cashmere,"//carbon38.com/cdn/shop/files/MDLT-AW24C06_BURGUNDY-REDREDDRK-Monroe-Cardigan-color-Burgundy_6092-Edit.jpg?v=1731545311&width=1000,//carbon38.com/cdn/shop/files/MDLT-AW24C06_BURGUNDY-REDREDDRK-Monroe-Cardigan-color-Burgundy_6080-Edit.jpg?v=1731545311&width=1000,//carbon38.com/cdn/shop/files/MDLT-AW24C06_BURGUNDY-REDREDDRK-Monroe-Cardigan-color-Burgundy_6101-Edit.jpg?v=1731545311&width=1000,//carbon38.com/cdn/shop/files/MDLT-AW24C06_BURGUNDY-REDREDDRK-Monroe-Cardigan-color-Burgundy_6110-Edit.jpg?v=1731545311&width=1000,//carbon38.com/cdn/shop/files/MDLT-AW24C06_BURGUNDY-REDREDDRK-Monroe-Cardigan-color-Burgundy_6114-Edit.jpg?v=1731545311&width=1000,//carbon38.com/cdn/shop/files/MDLT-AW24C06_BURGUNDY-REDREDDRK-Monroe-Cardigan-color-Burgundy_6119-Edit.jpg?v=1731545311&width=1000",$390.00 USD,//carbon38.com/cdn/shop/files/MDLT-AW24C06_BURGUNDY-REDREDDRK-Monroe-Cardigan-color-Burgundy_6092-Edit.jpg?v=1731545311&width=1000,7661840466109,Monroe Cashmere Cardigan,https://carbon38.com/products/monroe-cardigan-burgundy,0,"XS,S,M,L",MDLT-AW24C06_BURGUNDY-REDREDDRK-XS
PERFECT MOMENT,"Home,Shop All,Tops,Holiday Roll Neck",Red/White,100% Merino wool,"//carbon38.com/cdn/shop/files/PERF-W3001252-PRNTABSREDDRK-Holiday-Roll-Neck-color-Red-White_5531-Edit.jpg?v=1733450278&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001252-PRNTABSREDDRK-Holiday-Roll-Neck-color-Red-White_5543-Edit.jpg?v=1733450278&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001252-PRNTABSREDDRK-Holiday-Roll-Neck-color-Red-White_5525-Edit.jpg?v=1733450278&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001252-PRNTABSREDDRK-Holiday-Roll-Neck-color-Red-White_5558-Edit.jpg?v=1733450278&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001252-PRNTABSREDDRK-Holiday-Roll-Neck-color-Red-White_5565-Edit.jpg?v=1733450278&width=1000,//carbon38.com/cdn/shop/files/PERF-W3001252-PRNTABSREDDRK-Holiday-Roll-Neck-color-Red-White_5514-Edit.jpg?v=1733450278&width=1000",$336.00 USD,//carbon38.com/cdn/shop/files/PERF-W3001252-PRNTABSREDDRK-Holiday-Roll-Neck-color-Red-White_5531-Edit.jpg?v=1733450278&width=1000,7816992227517,Holiday Roll Neck,https://carbon38.com/products/holiday-roll-neck-red-white,0,"XS,S,M,L,XL",PERF-W3001252-PRNTABSREDDRK-XS
